color,count
#101010,3043
#C80000,1953
#006818,1669
#E0E0E0,1440
#E8C000,1372
#2C2C80,1127
#DC0000,687
#005020,665
#FCFCFC,650
#880000,602
#003820,542
#2C4084,503
#1C0070,403
#000000,388
#202060,366
#5C8CA8,364
#C0C0C0,336
#888888,308
#780078,301
#D09800,298
#1474B4,292
#F8F8F8,281
#2888C4,276
#FFFFFF,233
#285800,228
#604000,225
#BC8C00,214
#289C18,212
#003C64,204
#3C82AF,197
#5C5C5C,179
#440044,176
#8C0000,170
#408060,163
#C8C8C8,163
#A08858,142
#789484,138
#00008C,122
#441800,113
#004C00,112
#D87C00,107
#D8B000,101
#5C6428,97
#14283C,94
#98C8E8,94
#007800,91
#E87878,90
#A8ACE8,89
#5A008C,87
#503C14,85
#B8B8B8,84
#FF0000,81
#C8002C,79
#C88C00,79
#1C1C50,79
#808080,75
#901C38,69
#1870A4,68
#2474E8,66
#8C7038,64
#C89800,62
#4C3428,61
#A00000,61
#788CB4,56
#1C1C1C,55
#A00048,54
#A0A0A0,52
#000048,51
#003C14,48
#B0B0B0,48
#000064,48
#3850C8,48
#00643C,48
#E8CCB8,47
#6C0070,47
#0000CD,46
#A07C58,45
#080848,45
#002814,45
#C82828,45
#141E46,44
#603800,43
#48A4C0,43
#64008C,42
#FFE600,42
#0596FA,41
#960028,41
#E0A126,40
#646464,39
#BE7832,39
#000080,39
#004028,38
#F0E0C8,37
#9C68A4,37
#DC943C,37
#008B00,35
#B468AC,34
#680028,34
#5F749C,34
#E86000,33
#B84C00,31
#005448,31
#F8F4D0,31
#C4BC68,30
#1C1714,29
#800028,29
#FCCC00,27
#B03000,27
#309C18,27
#00FCFC,27
#2A2303,27
#A0783C,26
#C49CD8,26
#F9F5EF,25
#00002C,25
#505050,25
#120A01,25
#649848,24
#98481C,23
#3474FC,23
#003014,23
#960000,22
#006400,22
#4C0000,22
#9058D8,21
#146400,21
#DCBC00,21
#CC4438,20
#FA4B00,20
#EC8048,20
#82CFFD,20
#781C38,20
#FFFF00,19
#3C2010,19
#F8E38C,18
#B07430,18
#000028,18
#23321B,18
#303070,18
#8C8C8C,17
#000088,17
#9C9C00,17
#044028,17
#C89600,17
#C80028,16
#000034,16
#006428,16
#506878,15
#F7F1E8,15
#C04C08,15
#980044,15
#0000FF,14
#CA2625,14
#606060,14
#C82800,14
#E08070,14
#C80050,14
#FFD700,13
#FADC00,13
#B62531,12
#406054,12
#D05054,12
#009468,12
#3C3C3C,12
#048888,12
#780028,12
#B00000,11
#004800,11
#70000C,11
#003800,11
#007460,10
#433A5A,10
#003478,10
#000050,10
#28003C,10
#D40000,9
#EC34C4,9
#381C0C,9
#C4C4C4,9
#E3170D,9
#0C585C,9
#DDD5AF,9
#008000,8
#9C8000,8
#000060,8
#E5E0D2,8
#3F4441,8
#666666,8
#484800,8
#280032,8
#C04094,8
#4C1864,8
#640000,8
#840068,8
#F09400,8
#38409C,8
#0000E0,8
#500050,7
#3D2E60,7
#DD1212,7
#052F14,7
#64340C,7
#ACACAC,7
#9C0030,7
#480800,7
#3070FC,7
#306084,7
#C40000,7
#981C70,7
#640064,7
#A03400,6
#00008B,6
#800000,6
#124B24,6
#1860A8,6
#3D3134,6
#F8E8D8,6
#A32D18,6
#8C6428,6
#007C00,6
#8B0000,6
#AA00FF,6
#F0F0D8,6
#EF8F06,6
#9050D8,6
#6840FC,6
#74846C,6
#280034,6
#346488,6
#CCBAAF,5
#D3CC20,5
#005010,5
#4C0C28,5
#3C3C60,5
#005030,5
#98D0F0,5
#0098A0,5
#7C7C7C,5
#288028,5
#343434,5
#447438,5
#905966,5
#005834,5
#482800,5
#344054,5
#334E3D,5
#5D0F04,5
#2F4F4F,4
#184800,4
#FA6496,4
#373875,4
#07648C,4
#FCFC00,4
#C48800,4
#000040,4
#005028,4
#94ACFC,4
#0C5454,4
#1E492B,4
#351E14,4
#784C18,4
#271B86,4
#501400,4
#551A8B,4
#3CC83C,4
#502814,4
#00248C,4
#5D321F,4
#C87814,4
#172D60,4
#647C00,4
#FCFCEC,4
#778899,4
#3C78C8,4
#000033,4
#788CCC,4
#181034,4
#FFE700,4
#443428,4
#202020,4
#3F4B60,4
#180064,4
#F0F0B0,4
#00C814,3
#EE0000,3
#008B45,3
#82F5FA,3
#8C008C,3
#542850,3
#05132F,3
#F0E8D0,3
#F0C800,3
#CD0000,3
#FCAC00,3
#007FFF,3
#CC1100,3
#506880,3
#001E00,3
#5A5A82,3
#783C10,3
#3F4059,3
#72393F,3
#DCC000,3
#1E2025,3
#A00024,3
#B80000,3
#FCF8EC,3
#4C2424,3
#800080,3
#191970,3
#683C8C,3
#AFB8BB,3
#740010,3
#004000,3
#A08C28,3
#B43C50,3
#0C0C04,3
#F0E0C4,3
#FCA098,3
#89051B,3
#1A2B47,3
#86C67C,3
#767E52,3
#005814,3
#505028,3
#503C28,3
#A40000,3
#008080,3
#50783C,3
#787878,3
#8C1C38,3
#10101A,3
#20483C,3
#405C80,3
#3C7828,3
#003C28,3
#D8D898,3
#576982,3
#9E0508,3
#707070,3
#006438,3
#14465C,3
#780014,3
#F5DCA0,3
#340034,3
#703200,3
#DC5078,3
#C09898,3
#B22222,2
#3B5554,2
#00881C,2
#27408B,2
#CDAD00,2
#B13E0F,2
#777733,2
#603311,2
#0099CC,2
#8C1717,2
#A9A0A0,2
#009900,2
#FCB000,2
#B8DCC8,2
#E8DDCB,2
#B6BE8F,2
#FFA000,2
#3C0014,2
#D0D0D0,2
#282828,2
#004C2C,2
#FFE303,2
#204000,2
#501414,2
#0000DC,2
#949494,2
#F9C75C,2
#002008,2
#F03000,2
#A06400,2
#A88000,2
#B0840C,2
#34445C,2
#587C40,2
#D8C800,2
#203B27,2
#7C5400,2
#D2D2D2,2
#400040,2
#00003C,2
#085454,2
#DB2929,2
#696969,2
#D3D3D3,2
#CD3700,2
#28140C,2
#3C8CFC,2
#30644C,2
#944090,2
#3E647A,2
#004828,2
#900090,2
#FFFF33,2
#FFFAFA,2
#3D1130,2
#B42864,2
#281414,2
#387858,2
#ECE8CC,2
#F09430,2
#06392B,2
#FC9494,2
#E02CB8,2
#B458AC,2
#9D2123,2
#6C0000,2
#004F00,2
#DAA520,2
#FC9898,2
#B47820,2
#003C00,2
#C87018,2
#FFA500,2
#003000,2
#C49C00,2
#283854,2
#507C94,2
#9C7438,2
#9C0000,2
#980000,2
#501464,2
#00688B,2
#B89800,2
#006038,2
#004428,2
#228B22,2
#203078,2
#28287C,2
#D03034,2
#040470,2
#701C60,2
#D09000,2
#3C6838,2
#BC1828,2
#509721,2
#4C5068,2
#4169E1,2
#2F2F4F,2
#6000DC,2
#4B2E24,2
#9C2430,2
#285828,2
#EC9D9D,2
#A00028,2
#236B8E,2
#006633,2
#005430,2
#6C006C,2
#740074,2
#FAFA96,2
#7C0034,2
#A02828,2
#A08400,2
#508844,2
#3C0096,2
#40748C,2
#324114,2
#404040,2
#105088,2
#848488,2
#CCA800,2
#D0C4B4,2
#76A3B9,2
#B13836,2
#B40000,2
#D0908C,2
#48783C,2
#237F97,2
#CB2610,2
#14492D,2
#BE8F2C,2
#001C00,2
#82C880,2
#402A21,2
#A58065,2
#D0B87C,2
#292929,2
#004080,2
#5A1C38,2
#640054,2
#886000,2
#002CC0,2
#00C8C8,2
#002C4C,2
#F5D38B,2
#3C5C70,2
#642000,2
#E09CA0,2
#5B360B,2
#EC7440,2
#C40400,2
#6400E0,2
#005C30,2
#F8F0E4,2
#2E8B57,1
#355F3B,1
#273F2A,1
#EC0416,1
#0B148E,1
#F8B400,1
#97342F,1
#87CEFA,1
#DC143C,1
#990000,1
#EEEEEE,1
#B0171F,1
#2C40A0,1
#B45844,1
#646C64,1
#BDBD65,1
#506494,1
#C9C9C9,1
#304C78,1
#6F1D1F,1
#65787F,1
#9F7136,1
#800300,1
#7D7D7D,1
#38558F,1
#A47800,1
#101034,1
#A80020,1
#242468,1
#E8A800,1
#6480AC,1
#380474,1
#4B3971,1
#003F87,1
#96C8A2,1
#FFF68F,1
#D8C888,1
#747C60,1
#60082C,1
#0044A8,1
#963C0F,1
#820BBB,1
#FFCC11,1
#30AC38,1
#785000,1
#40647C,1
#005044,1
#2C6464,1
#ECCCB8,1
#1888D8,1
#FCEC94,1
#C07468,1
#640C1C,1
#3C74A4,1
#809850,1
#ECECD8,1
#041B67,1
#744000,1
#D07C00,1
#B8C8D4,1
#067396,1
#E4E4E4,1
#141010,1
#403828,1
#405C34,1
#204844,1
#A0C0FF,1
#FFFF80,1
#40A040,1
#C8A050,1
#94ACB8,1
#784878,1
#324E75,1
#215E4E,1
#0A0336,1
#0F1F53,1
#90000C,1
#688038,1
#858585,1
#AC7F24,1
#144800,1
#FFCC00,1
#88ACB8,1
#414C6C,1
#738182,1
#486934,1
#7C7D5D,1
#F06804,1
#AC201C,1
#1C3C00,1
#105880,1
#78240C,1
#A67D3D,1
#1C0000,1
#2B2A2A,1
#081408,1
#1B2401,1
#10712E,1
#1F5ABA,1
#9EAFDB,1
#23613C,1
#D6BEB4,1
#522720,1
#894B18,1
#D9B152,1
#6C2012,1
